,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,hours-per-week,native-country,income
0,25,2,226802,1,4,6,3,2,1,40,38,0
1,38,2,89814,11,2,4,0,4,1,50,38,0
2,28,1,336951,7,2,10,0,4,1,40,38,1
3,44,2,160323,15,2,6,0,2,1,40,38,1
4,34,2,198693,0,4,7,1,4,1,30,38,0
5,63,4,104626,14,2,9,0,4,1,32,38,1
6,24,2,369667,15,4,7,4,4,0,40,38,0
7,55,2,104996,5,2,2,0,4,1,10,38,0
8,65,2,184454,11,2,6,0,4,1,40,38,1
9,36,0,212465,9,2,0,0,4,1,40,38,0
10,26,2,82091,11,4,0,1,4,0,39,38,0
11,48,2,279724,11,2,6,0,4,1,48,38,1
12,43,2,346189,12,2,3,0,4,1,50,38,1
13,20,5,444554,15,4,7,3,4,1,25,38,0
14,43,2,128354,11,2,0,5,4,0,30,38,0
15,37,2,60548,11,6,6,4,4,0,20,38,0
16,34,2,107914,9,2,12,0,4,1,47,38,1
17,34,2,238588,15,4,7,3,2,0,35,38,0
18,25,2,220931,9,4,9,1,4,1,43,28,0
19,25,2,205947,9,2,9,0,4,1,40,38,0
20,45,4,432824,11,2,2,0,4,1,90,38,1
21,22,2,236427,11,4,0,3,4,1,20,38,0
22,23,2,134446,11,5,6,4,2,1,54,38,0
23,54,2,99516,11,2,2,0,4,1,35,38,0
24,32,4,109282,15,4,9,1,4,1,60,38,0
25,46,5,106444,15,2,3,0,2,1,38,38,1
26,56,4,186651,1,6,7,4,4,0,50,38,0
27,24,4,188274,9,4,11,1,4,1,50,38,0
28,23,1,258120,15,2,10,0,4,1,40,38,0
29,26,2,43311,11,0,3,4,4,0,40,38,0
30,36,1,403681,9,2,9,0,4,1,40,38,1
31,22,2,248446,4,4,8,1,4,1,50,12,0
32,17,2,269430,0,4,6,1,4,1,40,38,0
33,20,2,257509,11,4,2,3,4,1,40,38,0
34,65,2,136384,12,2,9,0,4,1,50,38,1
35,44,3,120277,8,2,11,0,4,1,45,38,1
36,36,2,465326,11,2,4,0,4,1,40,38,0
37,29,2,103634,1,2,7,0,4,1,40,38,0
38,20,5,138371,15,4,4,3,4,1,32,38,0
39,28,2,242832,8,2,9,5,4,0,36,38,1
40,39,2,290208,5,2,2,0,4,1,40,25,0
41,54,2,186272,15,2,13,0,4,1,50,38,0
42,52,2,201062,1,5,8,1,2,0,18,38,0
43,56,3,131916,11,6,3,1,4,0,50,38,0
44,18,2,54440,15,4,7,3,4,1,20,38,0
45,39,2,280215,11,0,5,3,2,1,40,38,0
46,21,2,214399,15,4,7,3,4,0,24,38,0
47,22,2,54164,11,4,7,1,4,1,60,38,1
48,38,2,219446,6,3,3,1,4,1,54,25,0
49,21,2,110677,15,4,0,3,4,0,40,38,0
50,63,2,145985,11,2,2,0,4,1,40,38,0
51,34,1,382078,9,2,3,0,4,1,50,38,1
52,42,3,170721,11,2,3,0,4,1,50,38,1
53,33,2,269705,11,2,5,0,4,1,40,38,0
54,30,2,101135,9,4,3,1,4,0,50,38,0
55,39,2,118429,15,0,11,1,4,1,40,38,0
56,26,2,31208,12,4,3,1,4,0,40,38,0
57,33,2,281384,11,4,6,3,4,0,40,38,0
58,47,1,171807,11,0,0,1,4,0,40,38,0
59,41,3,445382,7,2,2,0,4,1,60,38,1
60,19,2,105460,15,4,7,3,4,1,20,38,0
61,46,2,170338,11,5,13,1,4,1,40,38,0
62,43,2,102606,11,2,11,0,4,1,48,38,0
63,55,2,323887,15,2,3,0,4,1,45,38,1
64,46,2,175622,8,2,12,0,4,1,40,38,0
65,30,2,229636,11,2,6,0,4,1,40,25,0
66,21,2,388946,15,5,5,1,4,0,40,38,0
67,46,2,269034,15,2,2,0,3,1,40,5,0
68,41,2,75012,11,2,6,0,4,1,50,38,0
69,69,3,174379,11,2,11,0,4,1,30,38,0
70,50,2,312477,11,2,13,0,4,1,40,38,0
71,20,2,72055,15,4,0,1,4,0,40,38,0
72,45,3,67001,15,2,6,0,4,1,50,38,0
73,23,2,213734,9,4,3,1,4,1,40,38,0
74,24,2,83141,15,5,7,1,4,1,40,38,0
75,31,4,113752,15,2,2,0,4,1,50,38,0
76,43,2,170482,11,5,6,1,4,0,44,38,0
77,20,0,244689,1,4,7,3,4,0,10,38,0
78,55,2,160631,11,2,11,0,4,1,56,38,1
79,24,0,228724,15,4,1,1,4,1,40,38,0
80,59,2,292946,9,4,3,1,4,0,25,38,0
81,49,0,77443,5,4,7,1,2,1,20,38,0
82,33,2,176410,12,2,9,5,4,0,10,38,1
83,59,0,98984,9,0,0,1,4,1,40,38,0
84,34,2,198751,12,4,7,1,0,1,40,38,0
85,20,2,479296,11,4,5,3,4,1,40,38,0
86,25,2,235218,9,4,3,3,4,0,40,38,0
87,49,2,164877,0,2,4,0,4,1,40,38,0
88,59,2,272087,11,2,13,0,4,1,40,38,1
89,20,2,169699,11,4,0,1,4,0,40,38,0
90,33,2,202191,15,4,0,4,2,0,35,38,0
91,22,2,212261,15,4,13,3,2,1,39,38,0
92,58,4,301568,6,6,7,1,4,0,40,38,0
93,52,1,155233,11,6,0,4,4,0,28,38,0
94,36,2,75826,0,5,6,1,4,0,40,38,0
95,41,1,201520,11,2,10,0,4,1,40,38,0
96,28,2,154236,11,4,13,3,4,1,40,38,0
97,19,2,289227,15,4,5,3,2,1,16,38,0
98,18,2,217439,11,4,7,1,4,0,28,38,0
99,18,2,179020,11,4,6,3,4,0,48,38,0
100,28,2,149624,15,2,2,0,4,1,40,38,0
101,29,2,337266,8,2,3,0,4,1,40,38,1
102,40,2,103541,15,2,5,0,4,1,40,38,0
103,26,2,206721,11,4,5,4,4,1,40,38,0
104,46,2,96773,11,2,2,0,4,1,40,38,0
105,23,2,200967,1,4,7,1,4,0,24,38,0
106,44,2,180019,11,3,0,4,4,0,40,38,0
107,43,2,179866,9,0,11,4,4,0,40,38,1
108,31,1,198770,9,0,9,4,4,0,60,38,0
109,18,2,219256,15,4,11,3,4,0,25,38,0
110,19,2,248730,15,4,10,3,4,1,30,38,0
111,41,2,110732,15,0,12,1,4,0,40,38,0
112,41,2,181020,11,0,5,4,4,0,40,38,0
113,69,2,183791,11,0,0,1,4,0,25,38,0
114,48,0,42972,10,2,9,5,4,0,40,38,1
115,28,2,134813,11,4,9,3,4,1,40,38,0
116,27,4,115438,11,2,2,0,4,1,60,20,1
117,41,2,239296,12,2,9,0,4,1,50,38,1
118,41,2,428420,15,2,0,0,4,1,40,38,0
119,24,2,247846,11,4,2,4,2,0,40,38,0
120,42,3,100793,10,2,9,0,4,1,41,38,1
121,57,2,244478,11,2,2,0,2,1,48,38,0
122,30,2,142921,7,4,9,1,4,0,40,38,0
123,36,2,182863,11,2,11,0,4,1,60,38,1
124,49,2,171128,5,2,6,0,2,1,40,38,0
125,33,2,145402,11,2,6,5,4,0,35,38,0
126,23,2,306309,0,2,4,0,4,1,40,38,0
127,46,2,83822,12,2,9,0,4,1,40,38,0
128,18,2,262118,15,4,0,3,1,0,22,10,0
129,40,2,155972,11,2,3,0,4,1,55,38,1
130,43,3,214503,11,2,3,0,4,1,45,38,1
131,34,2,159303,12,4,9,3,4,0,30,38,0
132,47,4,174995,11,6,3,1,4,0,30,38,0
133,44,2,26669,8,6,3,4,4,0,30,38,0
134,33,2,177727,11,2,11,0,4,1,40,38,1
135,55,2,124771,9,2,3,0,4,1,50,38,1
136,19,2,456736,11,4,11,1,4,1,30,38,0
137,28,2,216604,15,4,7,1,2,1,14,38,0
138,27,2,221561,1,2,7,5,2,0,32,38,0
139,50,2,114564,5,2,6,0,4,1,20,38,0
140,22,2,315476,1,4,2,4,4,1,40,38,0
141,40,5,67874,9,2,0,0,4,1,45,38,1
142,25,2,126110,15,4,0,3,4,0,40,38,0
143,26,1,102264,11,4,2,1,4,1,40,38,0
144,22,2,537222,9,4,11,1,4,1,25,38,0
145,42,2,113732,15,4,5,4,2,0,40,38,0
146,38,3,93225,9,0,3,1,4,1,40,38,0
147,55,2,43064,1,2,7,0,4,1,30,38,0
148,32,2,136921,11,2,11,0,4,1,40,38,0
149,22,2,388885,11,2,2,0,4,1,45,38,0
150,29,2,142249,9,4,11,3,4,1,40,38,0
151,46,5,56841,12,2,3,0,4,1,45,38,1
152,31,2,156493,15,2,3,0,4,1,40,38,1
153,58,4,159021,10,2,9,0,4,1,16,38,1
154,42,2,190910,11,2,2,0,4,1,45,38,0
155,18,2,41879,11,4,5,4,4,1,25,38,0
156,58,1,137249,11,0,3,1,4,1,33,38,0
157,54,2,236157,11,2,9,0,4,1,40,38,1
158,34,2,189759,12,4,9,1,4,1,40,38,0
159,26,2,239877,9,4,0,1,4,0,40,38,0
160,61,2,21175,2,2,3,0,4,1,60,38,0
161,48,1,67229,12,5,0,4,2,0,40,38,0
162,36,2,236391,15,2,3,0,4,1,45,38,1
163,24,2,325596,8,2,6,0,4,1,45,38,0
164,40,2,83411,15,2,6,0,4,1,37,38,0
165,33,3,154227,11,2,11,0,4,1,50,38,1
166,37,2,248010,15,2,6,0,4,1,40,38,1
167,34,2,198613,12,4,3,3,4,1,40,38,0
168,56,3,321529,15,2,3,0,4,1,40,38,1
169,37,2,203079,9,6,3,1,4,0,55,38,0
170,44,2,284652,11,0,11,4,2,0,40,38,0
171,54,2,59840,11,0,5,1,4,1,45,38,0
172,23,2,52753,11,4,6,1,4,1,50,38,0
173,22,2,199266,11,4,7,1,4,0,45,38,0
174,33,2,196385,9,2,3,0,4,1,40,38,1
175,39,2,163205,9,5,9,1,4,1,50,38,1
176,47,2,411047,15,0,0,1,2,0,37,38,0
177,26,2,209440,11,4,9,4,2,0,55,38,0
178,31,2,56964,15,0,3,4,4,0,40,38,0
179,44,2,299197,15,4,13,1,4,1,45,38,0
180,42,3,240628,14,2,9,5,4,0,50,38,1
181,19,2,355313,11,4,6,1,4,0,40,38,0
182,27,2,132267,11,2,5,0,4,1,40,38,1
183,51,1,174861,15,2,10,0,4,1,40,38,1
184,28,3,142443,9,2,3,0,4,1,50,38,0
185,57,2,26716,9,0,2,1,4,1,45,38,0
